original,translated
Respiratory conditions due to unspecified external agent,Respiratory conditions due to unspecified external agent
Encounter for respirator dependence during power failure,Encounter for respirator dependence during power failure
Inhalation and ingestion of other object causing obstruction of respiratory tract or suffocation,Inhalation and ingestion of other object causing obstruction of respiratory tract or suffocation
Other respiratory problems after birth,Other respiratory problems after birth
"""Dependence on respirator, status""","""Dependence on respirator, status"""
Respiratory distress syndrome in newborn,Respiratory distress syndrome in newborn
Neoplasm of unspecified nature of respiratory system,Neoplasm of unspecified nature of respiratory system
Respiratory syncytial virus (RSV),Respiratory syncytial virus (RSV)
Retained cholelithiasis following cholecystectomy,Retained cholelithiasis following cholecystectomy
Retinal dystrophy in systemic or cerebroretinal lipidoses,Retinal dystrophy in systemic or cerebroretinal lipidoses
"""Retained portions of placenta or membranes, without hemorrhage, postpartum condition or complication""","""Retained portions of placenta or membranes, without hemorrhage, postpartum condition or complication"""
Retained depleted uranium fragments,Retained depleted uranium fragments
Retained magnetic metal fragments,Retained magnetic metal fragments
"""Retained placenta without hemorrhage, postpartum condition or complication""","""Retained placenta without hemorrhage, postpartum condition or complication"""
"""Retained placenta without hemorrhage, unspecified as to episode of care or not applicable""","""Retained placenta without hemorrhage, unspecified as to episode of care or not applicable"""
Retained plastic fragments,Retained plastic fragments
"""Retained portions of placenta or membranes, without hemorrhage, unspecified as to episode of care or not applicable""","""Retained portions of placenta or membranes, without hemorrhage, unspecified as to episode of care or not applicable"""
Retained stone or crystalline fragments,Retained stone or crystalline fragments
Retained glass fragments,Retained glass fragments
"""Reticulosarcoma, unspecified site, extranodal and solid organ sites""","""Reticulosarcoma, unspecified site, extranodal and solid organ sites"""
Retinal exudates and deposits,Retinal exudates and deposits
"""Retinal layer separation, unspecified""","""Retinal layer separation, unspecified"""
Retinal microaneurysms NOS,Retinal microaneurysms NOS
Venous engorgement,Venous engorgement
Retinal nerve fiber bundle defects,Retinal nerve fiber bundle defects
Changes in vascular appearance of retina,Changes in vascular appearance of retina
"""Retinopathy of prematurity, stage 0""","""Retinopathy of prematurity, stage 0"""
"""Retinopathy of prematurity, stage 1""","""Retinopathy of prematurity, stage 1"""
"""Retinopathy of prematurity, stage 2""","""Retinopathy of prematurity, stage 2"""
"""Retinopathy of prematurity, stage 3""","""Retinopathy of prematurity, stage 3"""
"""Retinopathy of prematurity, stage 5""","""Retinopathy of prematurity, stage 5"""
"""Retinopathy of prematurity, stage 4""","""Retinopathy of prematurity, stage 4"""
"""Retinopathy of prematurity, unspecified""","""Retinopathy of prematurity, unspecified"""
Other retinoschisis and retinal cysts,Other retinoschisis and retinal cysts
"""Retained placenta without hemorrhage, delivered, with mention of postpartum complication""","""Retained placenta without hemorrhage, delivered, with mention of postpartum complication"""
"""Retracted nipple associated with childbirth, unspecified as to episode of care or not applicable""","""Retracted nipple associated with childbirth, unspecified as to episode of care or not applicable"""
"""Retracted nipple associated with childbirth, delivered, with mention of postpartum complication""","""Retracted nipple associated with childbirth, delivered, with mention of postpartum complication"""
"""Retracted nipple associated with childbirth, delivered, with or without mention of antepartum condition""","""Retracted nipple associated with childbirth, delivered, with or without mention of antepartum condition"""
Other retroperitoneal abscess,Other retroperitoneal abscess
"""Injury to other intra-abdominal organs with open wound into cavity, retroperitoneum""","""Injury to other intra-abdominal organs with open wound into cavity, retroperitoneum"""
"""Retroverted and incarcerated gravid uterus, delivered, with mention of postpartum complication""","""Retroverted and incarcerated gravid uterus, delivered, with mention of postpartum complication"""
"""Retroverted and incarcerated gravid uterus, delivered, with mention of antepartum condition""","""Retroverted and incarcerated gravid uterus, delivered, with mention of antepartum condition"""
Reflex sympathetic dystrophy of the lower limb,Reflex sympathetic dystrophy of the lower limb
Reflex sympathetic dystrophy of the upper limb,Reflex sympathetic dystrophy of the upper limb
Other Rh incompatibility reaction,Other Rh incompatibility reaction
"""Rh incompatibility reaction, unspecified""","""Rh incompatibility reaction, unspecified"""
"""Rhesus isoimmunization, antepartum condition or complication""","""Rhesus isoimmunization, antepartum condition or complication"""
Other and unspecified rheumatic aortic diseases,Other and unspecified rheumatic aortic diseases
Rheumatic aortic stenosis with insufficiency,Rheumatic aortic stenosis with insufficiency
Rheumatic chorea with heart involvement,Rheumatic chorea with heart involvement
Rheumatic fever without mention of heart involvement,Rheumatic fever without mention of heart involvement
Other anomalies of ribs and sternum,Other anomalies of ribs and sternum
"""Encephalitis, myelitis, and encephalomyelitis in rickettsial diseases classified elsewhere""","""Encephalitis, myelitis, and encephalomyelitis in rickettsial diseases classified elsewhere"""
Accident involving animal being ridden injuring other specified person,Accident involving animal being ridden injuring other specified person
Accident involving animal being ridden injuring unspecified person,Accident involving animal being ridden injuring unspecified person
Accident involving animal being ridden injuring pedestrian,Accident involving animal being ridden injuring pedestrian
Accident involving animal being ridden injuring occupant of streetcar,Accident involving animal being ridden injuring occupant of streetcar
Roseola infantum due to human herpesvirus 6,Roseola infantum due to human herpesvirus 6
Roseola infantum due to human herpesvirus 7,Roseola infantum due to human herpesvirus 7
Routine infant or child health check,Routine infant or child health check
Laboratory examination ordered as part of a routine general medical examination,Laboratory examination ordered as part of a routine general medical examination
"""Activities involving rowing, canoeing, kayaking, rafting and tubing""","""Activities involving rowing, canoeing, kayaking, rafting and tubing"""
Right bundle branch block and left posterior fascicular block,Right bundle branch block and left posterior fascicular block
Rubella with other specified complications,Rubella with other specified complications
Rubella with unspecified complications,Rubella with unspecified complications
"""Abdominal aneurysm, ruptured""","""Abdominal aneurysm, ruptured"""
"""Aortic aneurysm of unspecified site, ruptured""","""Aortic aneurysm of unspecified site, ruptured"""
"""Thoracic aneurysm, ruptured""","""Thoracic aneurysm, ruptured"""
Rupture in descemet's membrane,Rupture in descemet's membrane
Rupture of eye with partial loss of intraocular tissue,Rupture of eye with partial loss of intraocular tissue
Nontraumatic rupture of quadriceps tendon,Nontraumatic rupture of quadriceps tendon
"""Rupture of uterus during labor, delivered, with or without mention of antepartum condition""","""Rupture of uterus during labor, delivered, with or without mention of antepartum condition"""
Russian spring-summer [taiga] encephalitis,Russian spring-summer [taiga] encephalitis
Systemic inflammatory response syndrome due to noninfectious process with acute organ dysfunction,Systemic inflammatory response syndrome due to noninfectious process with acute organ dysfunction
Systemic inflammatory response syndrome due to noninfectious process without acute organ dysfunction,Systemic inflammatory response syndrome due to noninfectious process without acute organ dysfunction
Sacral spinal cord injury without evidence of spinal bone injury,Sacral spinal cord injury without evidence of spinal bone injury
Saddle embolus of abdominal aorta,Saddle embolus of abdominal aorta
Hypertrophy of salivary gland,Hypertrophy of salivary gland
Other specified salmonella infections,Other specified salmonella infections
"""Salmonella infection, unspecified""","""Salmonella infection, unspecified"""
Salmonella osteomyelitis,Salmonella osteomyelitis
"""Subacute leukemia of unspecified cell type, in remission""","""Subacute leukemia of unspecified cell type, in remission"""
"""Subacute lymphoid leukemia, without mention of having achieved remission""","""Subacute lymphoid leukemia, without mention of having achieved remission"""
"""Subacute lymphoid leukemia, in relapse""","""Subacute lymphoid leukemia, in relapse"""
"""Subacute monocytic leukemia, without mention of having achieved remission""","""Subacute monocytic leukemia, without mention of having achieved remission"""
"""Subacute monocytic leukemia, in relapse""","""Subacute monocytic leukemia, in relapse"""
"""Subacute myeloid leukemia, without mention of having achieved remission""","""Subacute myeloid leukemia, without mention of having achieved remission"""
"""Subacute myeloid leukemia, in relapse""","""Subacute myeloid leukemia, in relapse"""
"""Subacute leukemia of unspecified cell type, without mention of having achieved remission""","""Subacute leukemia of unspecified cell type, without mention of having achieved remission"""
Seborrheic infantile dermatitis,Seborrheic infantile dermatitis
"""Other specified types of schizophrenia, subchronic with acute exacerbation""","""Other specified types of schizophrenia, subchronic with acute exacerbation"""
"""Unspecified schizophrenia, subchronic with acute exacerbation""","""Unspecified schizophrenia, subchronic with acute exacerbation"""
"""Schizophreniform disorder, subchronic with acute exacerbation""","""Schizophreniform disorder, subchronic with acute exacerbation"""
"""Schizophrenic disorders, residual type, subchronic with acute exacerbation""","""Schizophrenic disorders, residual type, subchronic with acute exacerbation"""
"""Schizoaffective disorder, subchronic with acute exacerbation""","""Schizoaffective disorder, subchronic with acute exacerbation"""
"""Schizoaffective disorder, subchronic""","""Schizoaffective disorder, subchronic"""
"""Schizoaffective disorder, in remission""","""Schizoaffective disorder, in remission"""
"""Schizoaffective disorder, chronic with acute exacerbation""","""Schizoaffective disorder, chronic with acute exacerbation"""
"""Schizoid personality disorder, unspecified""","""Schizoid personality disorder, unspecified"""
"""Schizophrenic disorders, residual type, in remission""","""Schizophrenic disorders, residual type, in remission"""
"""Schizophrenic disorders, residual type, subchronic""","""Schizophrenic disorders, residual type, subchronic"""
"""Schizophrenic disorders, residual type, chronic with acute exacerbation""","""Schizophrenic disorders, residual type, chronic with acute exacerbation"""
"""Schizophreniform disorder, chronic with acute exacerbation""","""Schizophreniform disorder, chronic with acute exacerbation"""
"""Other specified types of schizophrenia, in remission""","""Other specified types of schizophrenia, in remission"""
"""Other specified types of schizophrenia, subchronic""","""Other specified types of schizophrenia, subchronic"""
"""Other specified types of schizophrenia, unspecified""","""Other specified types of schizophrenia, unspecified"""
"""Unspecified schizophrenia, in remission""","""Unspecified schizophrenia, in remission"""
"""Unspecified schizophrenia, subchronic""","""Unspecified schizophrenia, subchronic"""
"""Unspecified schizophrenia, unspecified""","""Unspecified schizophrenia, unspecified"""
"""Schizophreniform disorder, in remission""","""Schizophreniform disorder, in remission"""
"""Schizophreniform disorder, subchronic""","""Schizophreniform disorder, subchronic"""
"""Schizophreniform disorder, unspecified""","""Schizophreniform disorder, unspecified"""
"""Schmorl's nodes, other region""","""Schmorl's nodes, other region"""
Scleritis with corneal involvement,Scleritis with corneal involvement
Encounter for routine screening for malformation using ultrasonics,Encounter for routine screening for malformation using ultrasonics
Special screening for other specified conditions,Special screening for other specified conditions
Screening for unspecified condition,Screening for unspecified condition
Screening examination for intestinal helminthiasis,Screening examination for intestinal helminthiasis
Screening examination for unspecified infectious disease,Screening examination for unspecified infectious disease
Screening examination for leishmaniasis,Screening examination for leishmaniasis
Special screening for malignant neoplasms of other sites,Special screening for malignant neoplasms of other sites
Screening for malignant neoplasms of oral cavity,Screening for malignant neoplasms of oral cavity
Special screening for malignant neoplasms of respiratory organs,Special screening for malignant neoplasms of respiratory organs
Screening for malignant neoplasms of testis,Screening for malignant neoplasms of testis
Special screening for malignant neoplasms of vagina,Special screening for malignant neoplasms of vagina
Screening mammogram for high-risk patient,Screening mammogram for high-risk patient
Special screening for malignant neoplasms of nervous system,Special screening for malignant neoplasms of nervous system
Screening examination for bacterial conjunctivitis,Screening examination for bacterial conjunctivitis
Screening examination for other specified bacterial and spirochetal diseases,Screening examination for other specified bacterial and spirochetal diseases
Screening examination for unspecified bacterial and spirochetal diseases,Screening examination for unspecified bacterial and spirochetal diseases
Screening for congenital dislocation of hip,Screening for congenital dislocation of hip
Screening for chemical poisoning and other contamination,Screening for chemical poisoning and other contamination
Screening for diabetes mellitus,Screening for diabetes mellitus
"""Screening for other and unspecified endocrine, nutritional, metabolic, and immunity disorders""","""Screening for other and unspecified endocrine, nutritional, metabolic, and immunity disorders"""
Antenatal screening for fetal growth retardation using ultrasonics,Antenatal screening for fetal growth retardation using ultrasonics
Screening for genetic disease carrier status,Screening for genetic disease carrier status
Screening for iron deficiency anemia,Screening for iron deficiency anemia
Screening examination for other specified parasitic infections,Screening examination for other specified parasitic infections
Special screening for traumatic brain injury,Special screening for traumatic brain injury
Screening for alcoholism,Screening for alcoholism
Screening for depression,Screening for depression
Screening examination for diphtheria,Screening examination for diphtheria
Antenatal screening for chromosomal anomalies by amniocentesis,Antenatal screening for chromosomal anomalies by amniocentesis
Encounter for fetal anatomic survey,Encounter for fetal anatomic survey
Special screening for intellectual disabilities,Special screening for intellectual disabilities
Special screening for malignant neoplasms of small intestine,Special screening for malignant neoplasms of small intestine
"""Special screening for malignant neoplasms for intestine, unspecified""","""Special screening for malignant neoplasms for intestine, unspecified"""
Screening for malignant neoplasms of prostate,Screening for malignant neoplasms of prostate
Special screening examination for other specified chlamydial diseases,Special screening examination for other specified chlamydial diseases
Screening for other hemoglobinopathies,Screening for other hemoglobinopathies
Other seborrheic dermatitis,Other seborrheic dermatitis
"""Seborrheic dermatitis, unspecified""","""Seborrheic dermatitis, unspecified"""
"""Secondary diabetes mellitus with peripheral circulatory disorders, not stated as uncontrolled, or unspecified""","""Secondary diabetes mellitus with peripheral circulatory disorders, not stated as uncontrolled, or unspecified"""
"""Secondary diabetes mellitus with hyperosmolarity, not stated as uncontrolled, or unspecified""","""Secondary diabetes mellitus with hyperosmolarity, not stated as uncontrolled, or unspecified"""
"""Secondary diabetes mellitus with hyperosmolarity, uncontrolled""","""Secondary diabetes mellitus with hyperosmolarity, uncontrolled"""
"""Secondary diabetes mellitus with ketoacidosis, not stated as uncontrolled, or unspecified""","""Secondary diabetes mellitus with ketoacidosis, not stated as uncontrolled, or unspecified"""
"""Secondary diabetes mellitus with other coma, not stated as uncontrolled, or unspecified""","""Secondary diabetes mellitus with other coma, not stated as uncontrolled, or unspecified"""
"""Secondary diabetes mellitus with other coma, uncontrolled""","""Secondary diabetes mellitus with other coma, uncontrolled"""
"""Secondary diabetes mellitus with other specified manifestations, not stated as uncontrolled, or unspecified""","""Secondary diabetes mellitus with other specified manifestations, not stated as uncontrolled, or unspecified"""
"""Secondary diabetes mellitus with renal manifestations, not stated as uncontrolled, or unspecified""","""Secondary diabetes mellitus with renal manifestations, not stated as uncontrolled, or unspecified"""
"""Secondary diabetes mellitus without mention of complication, not stated as uncontrolled, or unspecified""","""Secondary diabetes mellitus without mention of complication, not stated as uncontrolled, or unspecified"""
"""Secondary diabetes mellitus without mention of complication, uncontrolled""","""Secondary diabetes mellitus without mention of complication, uncontrolled"""
Other secondary carnitine deficiency,Other secondary carnitine deficiency
Secondary hyperparathyroidism (of renal origin),Secondary hyperparathyroidism (of renal origin)
"""Secondary hyperparathyroidism, non-renal""","""Secondary hyperparathyroidism, non-renal"""
Secondary neuroendocrine tumor of distant lymph nodes,Secondary neuroendocrine tumor of distant lymph nodes
Secondary neuroendocrine tumor of other sites,Secondary neuroendocrine tumor of other sites
Secondary neuroendocrine tumor of liver,Secondary neuroendocrine tumor of liver
Secondary neuroendocrine tumor of peritoneum,Secondary neuroendocrine tumor of peritoneum
Secondary neuroendocrine tumor of bone,Secondary neuroendocrine tumor of bone
"""Secondary uterine inertia, antepartum condition or complication""","""Secondary uterine inertia, antepartum condition or complication"""
"""Secondary uterine inertia, unspecified as to episode of care or not applicable""","""Secondary uterine inertia, unspecified as to episode of care or not applicable"""
"""Secondary cardiomyopathy, unspecified""","""Secondary cardiomyopathy, unspecified"""
Secondary malignant neoplasm of adrenal gland,Secondary malignant neoplasm of adrenal gland
Secondary malignant neoplasm of genital organs,Secondary malignant neoplasm of genital organs
Secondary Merkel cell carcinoma,Secondary Merkel cell carcinoma
Secondary lacrimal atrophy,Secondary lacrimal atrophy
Secondary malignant neoplasm of bone and bone marrow,Secondary malignant neoplasm of bone and bone marrow
Secondary malignant neoplasm of lung,Secondary malignant neoplasm of lung
Secondary malignant neoplasm of skin,Secondary malignant neoplasm of skin
Secondary pneumonic plague,Secondary pneumonic plague
Other secondary aldosteronism,Other secondary aldosteronism
Sector or arcuate visual field defects,Sector or arcuate visual field defects
Ostium secundum type atrial septal defect,Ostium secundum type atrial septal defect
"""Sedative, hypnotic or anxiolytic dependence, unspecified""","""Sedative, hypnotic or anxiolytic dependence, unspecified"""
"""Sedative, hypnotic or anxiolytic dependence, continuous""","""Sedative, hypnotic or anxiolytic dependence, continuous"""
"""Sedative, hypnotic or anxiolytic dependence, episodic""","""Sedative, hypnotic or anxiolytic dependence, episodic"""
"""Sedative, hypnotic or anxiolytic dependence, in remission""","""Sedative, hypnotic or anxiolytic dependence, in remission"""
"""Sedative, hypnotic or anxiolytic abuse, unspecified""","""Sedative, hypnotic or anxiolytic abuse, unspecified"""
"""Sedative, hypnotic or anxiolytic abuse, continuous""","""Sedative, hypnotic or anxiolytic abuse, continuous"""
"""Sedative, hypnotic or anxiolytic abuse, episodic""","""Sedative, hypnotic or anxiolytic abuse, episodic"""
"""Sedative, hypnotic or anxiolytic abuse, in remission""","""Sedative, hypnotic or anxiolytic abuse, in remission"""
Suicide and self-inflicted injury by air gun,Suicide and self-inflicted injury by air gun
Semicircular canal fistula,Semicircular canal fistula
"""Sensorineural hearing loss, asymmetrical""","""Sensorineural hearing loss, asymmetrical"""
"""Sensorineural hearing loss, bilateral""","""Sensorineural hearing loss, bilateral"""
Sensory problem with neck and trunk,Sensory problem with neck and trunk
Other sensorimotor disorders of eyelid,Other sensorimotor disorders of eyelid
"""Sensorineural hearing loss, unspecified""","""Sensorineural hearing loss, unspecified"""
"""Sensorineural hearing loss, unilateral""","""Sensorineural hearing loss, unilateral"""
"""Sensory hearing loss, unilateral""","""Sensory hearing loss, unilateral"""
Sensory problems with limbs,Sensory problems with limbs
Other dystrophies primarily involving the sensory retina,Other dystrophies primarily involving the sensory retina
"""Sensory hearing loss, bilateral""","""Sensory hearing loss, bilateral"""
Septic arterial embolism,Septic arterial embolism
Septic pulmonary embolism,Septic pulmonary embolism
"""Generalized infection during labor, antepartum condition or complication""","""Generalized infection during labor, antepartum condition or complication"""
"""Generalized infection during labor, unspecified as to episode of care or not applicable""","""Generalized infection during labor, unspecified as to episode of care or not applicable"""
Serous choroidal detachment,Serous choroidal detachment
Serous detachment of retinal pigment epithelium,Serous detachment of retinal pigment epithelium
Serous retinal detachment,Serous retinal detachment
Severe intellectual disabilities,Severe intellectual disabilities
Severe nonproliferative diabetic retinopathy,Severe nonproliferative diabetic retinopathy
"""Severe pre-eclampsia, antepartum condition or complication""","""Severe pre-eclampsia, antepartum condition or complication"""
"""Severe pre-eclampsia, postpartum condition or complication""","""Severe pre-eclampsia, postpartum condition or complication"""
"""Severe pre-eclampsia, delivered, with or without mention of antepartum condition""","""Severe pre-eclampsia, delivered, with or without mention of antepartum condition"""
"""Kaposi's sarcoma, soft tissue""","""Kaposi's sarcoma, soft tissue"""
Other specified Shiga toxin-producing Escherichia coli [E. coli] (STEC),Other specified Shiga toxin-producing Escherichia coli [E. coli] (STEC)
"""Shiga toxin-producing Escherichia coli [E. coli] (STEC), unspecified""","""Shiga toxin-producing Escherichia coli [E. coli] (STEC), unspecified"""
Shiga toxin-producing Escherichia coli [E. coli] (STEC) O157,Shiga toxin-producing Escherichia coli [E. coli] (STEC) O157
"""Shoulder (girdle) dystocia, antepartum condition or complication""","""Shoulder (girdle) dystocia, antepartum condition or complication"""
"""Shoulder (girdle) dystocia, unspecified as to episode of care or not applicable""","""Shoulder (girdle) dystocia, unspecified as to episode of care or not applicable"""
Short lasting unilateral neuralgiform headache with conjunctival injection and tearing,Short lasting unilateral neuralgiform headache with conjunctival injection and tearing
"""Injury to sigmoid colon, without mention of open wound into cavity""","""Injury to sigmoid colon, without mention of open wound into cavity"""
Simple endometrial hyperplasia without atypia,Simple endometrial hyperplasia without atypia
"""Simple type schizophrenia, subchronic with acute exacerbation""","""Simple type schizophrenia, subchronic with acute exacerbation"""
Simple chronic conjunctivitis,Simple chronic conjunctivitis
"""Simple type schizophrenia, chronic with acute exacerbation""","""Simple type schizophrenia, chronic with acute exacerbation"""
"""Simple type schizophrenia, in remission""","""Simple type schizophrenia, in remission"""
"""Simple type schizophrenia, subchronic""","""Simple type schizophrenia, subchronic"""
"""Simple type schizophrenia, unspecified""","""Simple type schizophrenia, unspecified"""
"""Single liveborn, born before admission to hospital""","""Single liveborn, born before admission to hospital"""
"""Single liveborn, born in hospital, delivered without mention of cesarean section""","""Single liveborn, born in hospital, delivered without mention of cesarean section"""
Sinoatrial node dysfunction,Sinoatrial node dysfunction
"""Activities involving snow (alpine) (downhill) skiing, snow boarding, sledding, tobogganing and snow tubing""","""Activities involving snow (alpine) (downhill) skiing, snow boarding, sledding, tobogganing and snow tubing"""
Other specified hypertrophic and atrophic conditions of skin,Other specified hypertrophic and atrophic conditions of skin
Unspecified hypertrophic and atrophic conditions of skin,Unspecified hypertrophic and atrophic conditions of skin
Diagnostic skin and sensitization tests,Diagnostic skin and sensitization tests
Other organic sleep disorders,Other organic sleep disorders
"""Sleep related movement disorder, unspecified""","""Sleep related movement disorder, unspecified"""
Sleep related leg cramps,Sleep related leg cramps
Dysfunctions associated with sleep stages or arousal from sleep,Dysfunctions associated with sleep stages or arousal from sleep
Slow transit constipation,Slow transit constipation
"""Other injury to small intestine, with open wound into cavity""","""Other injury to small intestine, with open wound into cavity"""
"""Injury to small intestine, unspecified site, with open wound into cavity""","""Injury to small intestine, unspecified site, with open wound into cavity"""
Deficiencies of smooth pursuit movements,Deficiencies of smooth pursuit movements
Other disorders of soft tissue,Other disorders of soft tissue
Solitary pulmonary nodule,Solitary pulmonary nodule
"""Nonallopathic lesions, cervical region""","""Nonallopathic lesions, cervical region"""
"""Nonallopathic lesions, lower extremities""","""Nonallopathic lesions, lower extremities"""
"""Nonallopathic lesions, lumbar region""","""Nonallopathic lesions, lumbar region"""
"""Nonallopathic lesions, pelvic region""","""Nonallopathic lesions, pelvic region"""
"""Nonallopathic lesions, sacral region""","""Nonallopathic lesions, sacral region"""
"""Nonallopathic lesions, thoracic region""","""Nonallopathic lesions, thoracic region"""
"""Nonallopathic lesions, upper extremities""","""Nonallopathic lesions, upper extremities"""
Other somatoform disorders,Other somatoform disorders
"""Accident involving spacecraft injuring ground crew, airline employee""","""Accident involving spacecraft injuring ground crew, airline employee"""
"""Anomalies of relationship of jaw to cranial base, other specified anomaly""","""Anomalies of relationship of jaw to cranial base, other specified anomaly"""
Specified congenital anomalies of lacrimal gland,Specified congenital anomalies of lacrimal gland
Other specified congenital anomalies,Other specified congenital anomalies
Speech and language developmental delay due to hearing loss,Speech and language developmental delay due to hearing loss
"""Kaposi's sarcoma, other specified sites""","""Kaposi's sarcoma, other specified sites"""
"""Spina bifida with hydrocephalus, cervical region""","""Spina bifida with hydrocephalus, cervical region"""
"""Spina bifida with hydrocephalus, dorsal (thoracic) region""","""Spina bifida with hydrocephalus, dorsal (thoracic) region"""
"""Spina bifida with hydrocephalus, lumbar region""","""Spina bifida with hydrocephalus, lumbar region"""
"""Spina bifida with hydrocephalus, unspecified region""","""Spina bifida with hydrocephalus, unspecified region"""
"""Curvature of spine, unspecified, associated with other conditions""","""Curvature of spine, unspecified, associated with other conditions"""
"""Spinal stenosis, lumbar region, without neurogenic claudication""","""Spinal stenosis, lumbar region, without neurogenic claudication"""
Injury to spine and spinal cord due to birth trauma,Injury to spine and spinal cord due to birth trauma
Other spinal muscular atrophy,Other spinal muscular atrophy
"""Spinal muscular atrophy, unspecified""","""Spinal muscular atrophy, unspecified"""
"""Spinal stenosis, other region""","""Spinal stenosis, other region"""
"""Spinal stenosis, thoracic region""","""Spinal stenosis, thoracic region"""
"""Injury to spleen with open wound into cavity, capsular tears, without major disruption of parenchyma""","""Injury to spleen with open wound into cavity, capsular tears, without major disruption of parenchyma"""
Other injury into spleen without mention of open wound into cavity,Other injury into spleen without mention of open wound into cavity
"""Injury to spleen without mention of open wound into cavity, unspecified injury""","""Injury to spleen without mention of open wound into cavity, unspecified injury"""
Splitting of urinary stream,Splitting of urinary stream
"""Spontaneous abortion, with other specified complications, complete""","""Spontaneous abortion, with other specified complications, complete"""
"""Spontaneous abortion, with other specified complications, unspecified""","""Spontaneous abortion, with other specified complications, unspecified"""
"""Spontaneous abortion, with unspecified complication, complete""","""Spontaneous abortion, with unspecified complication, complete"""
"""Spontaneous abortion, with unspecified complication, unspecified""","""Spontaneous abortion, with unspecified complication, unspecified"""
"""Spontaneous abortion, complicated by metabolic disorder, complete""","""Spontaneous abortion, complicated by metabolic disorder, complete"""
"""Spontaneous abortion, complicated by metabolic disorder, unspecified""","""Spontaneous abortion, complicated by metabolic disorder, unspecified"""
"""Spontaneous abortion, complicated by damage to pelvic organs or tissues, complete""","""Spontaneous abortion, complicated by damage to pelvic organs or tissues, complete"""
"""Spontaneous abortion, complicated by damage to pelvic organs or tissues, unspecified""","""Spontaneous abortion, complicated by damage to pelvic organs or tissues, unspecified"""
"""Spontaneous abortion, complicated by damage to pelvic organs or tissues, incomplete""","""Spontaneous abortion, complicated by damage to pelvic organs or tissues, incomplete"""
"""Spontaneous abortion, complicated by genital tract and pelvic infection, complete""","""Spontaneous abortion, complicated by genital tract and pelvic infection, complete"""
"""Spontaneous abortion, complicated by genital tract and pelvic infection, unspecified""","""Spontaneous abortion, complicated by genital tract and pelvic infection, unspecified"""
"""Spontaneous abortion, complicated by genital tract and pelvic infection, incomplete""","""Spontaneous abortion, complicated by genital tract and pelvic infection, incomplete"""
"""Spontaneous abortion, complicated by delayed or excessive hemorrhage, complete""","""Spontaneous abortion, complicated by delayed or excessive hemorrhage, complete"""
"""Spontaneous abortion, complicated by delayed or excessive hemorrhage, unspecified""","""Spontaneous abortion, complicated by delayed or excessive hemorrhage, unspecified"""
"""Onset (spontaneous) of labor after 37 completed weeks of gestation but before 39 completed weeks gestation, with delivery by (planned) cesarean section, delivered, with or without mention of antepartum condition""","""Onset (spontaneous) of labor after 37 completed weeks of gestation but before 39 completed weeks gestation, with delivery by (planned) cesarean section, delivered, with or without mention of antepartum condition"""
"""Spondylosis with myelopathy, lumbar region""","""Spondylosis with myelopathy, lumbar region"""
"""Spondylosis with myelopathy, thoracic region""","""Spondylosis with myelopathy, thoracic region"""
Inflammatory spondylopathies in diseases classified elsewhere,Inflammatory spondylopathies in diseases classified elsewhere
"""Spondylosis of unspecified site, without mention of myelopathy""","""Spondylosis of unspecified site, without mention of myelopathy"""
"""Spondylosis of unspecified site, with myelopathy""","""Spondylosis of unspecified site, with myelopathy"""
Spontaneous bacterial peritonitis,Spontaneous bacterial peritonitis
Acromioclavicular (joint) (ligament) sprain,Acromioclavicular (joint) (ligament) sprain
Sprain of cruciate ligament of knee,Sprain of cruciate ligament of knee
"""Sprain of tibiofibular (ligament), distal of ankle""","""Sprain of tibiofibular (ligament), distal of ankle"""
Sprains and strains of other specified sites of elbow and forearm,Sprains and strains of other specified sites of elbow and forearm
Sprains and strains of unspecified site of elbow and forearm,Sprains and strains of unspecified site of elbow and forearm
Sprain of medial collateral ligament of knee,Sprain of medial collateral ligament of knee
Sprains and strains of other specified sites of knee and leg,Sprains and strains of other specified sites of knee and leg
Sprains and strains of unspecified site of knee and leg,Sprains and strains of unspecified site of knee and leg
Sprain of thyroid region,Sprain of thyroid region
Radial collateral ligament sprain,Radial collateral ligament sprain
"""Sprain of tibiofibular (joint) (ligament) superior, of knee""","""Sprain of tibiofibular (joint) (ligament) superior, of knee"""
Activities involving springboard and platform diving,Activities involving springboard and platform diving
Spastic hemiplegia and hemiparesis affecting nondominant side,Spastic hemiplegia and hemiparesis affecting nondominant side
Spastic hemiplegia and hemiparesis affecting dominant side,Spastic hemiplegia and hemiparesis affecting dominant side
Spastic hemiplegia and hemiparesis affecting unspecified side,Spastic hemiplegia and hemiparesis affecting unspecified side
Squamous cell carcinoma of scalp and skin of neck,Squamous cell carcinoma of scalp and skin of neck
"""Squamous cell carcinoma of skin of lower limb, including hip""","""Squamous cell carcinoma of skin of lower limb, including hip"""
Squamous cell carcinoma of skin of other and unspecified parts of face,Squamous cell carcinoma of skin of other and unspecified parts of face
Squamous cell carcinoma of other specified sites of skin,Squamous cell carcinoma of other specified sites of skin
"""Squamous cell carcinoma of skin of trunk, except scrotum""","""Squamous cell carcinoma of skin of trunk, except scrotum"""
"""Squamous cell carcinoma of skin of upper limb, including shoulder""","""Squamous cell carcinoma of skin of upper limb, including shoulder"""
Squamous cell carcinoma of skin of lip,Squamous cell carcinoma of skin of lip
Surveillance of implantable subdermal contraceptive,Surveillance of implantable subdermal contraceptive
